x 	 y 
-0.4998021803771976	-0.46021421439301413
-0.48990702618650667	-0.46146373697455056
-0.4806322762274707	-0.4651319388675021
-0.47255742121896593	-0.4709864000458176
-0.4661849219574257	-0.47865911519762466
-0.4619093981015011	-0.4876702474413684
-0.4599937848074987	-0.4974586250678269
-0.4605538582218343	-0.5074170149622701
-0.46355199372690753	-0.5169299374394513
-0.4688004389736703	-0.5254116607593411
-0.4759737938484114	-0.532342034747773
-0.4846298280709282	-0.5372979876821248
-0.49423726804757917	-0.5399788061373088
-0.5042087773117017	-0.54022372328869
-0.5139370625462416	-0.5380208303936622
-0.5228318754708128	-0.5335068674541296
-0.530355657177862	-0.5269580085265392
-0.5360556846774669	-0.5187723005330976
-0.5395908200511391	-0.5094449091756089
-0.540751313816068	-0.4995377427270898
-0.5394705526552059	-0.4896453404297851
-0.5358281396115735	-0.48035910989726155
-0.5300442212480834	-0.47223206769584963
-0.5224654991653112	-0.4657461774068412
-0.5135438515681954	-0.46128419595835135
-0.5038089159194339	-0.45910764510265895
-0.49383632209435213	-0.4593421401066047
-0.4842134985036771	-0.46197085648877056
-0.47550508963108656	-0.46683642584147056
-0.46822001774395317	-0.47365105295778637
-0.46278209682263094	-0.4820141680759781
-0.4595058725803717	-0.49143649766090164
-0.45857903456260357	-0.5013690789679623
-0.4600523455982805	-0.5112354771526555
-0.463837584983509	-0.5204653026185945
-0.46971353162883134	-0.528527077951544
-0.477339549561004	-0.5349585687998862
-0.48627590724202435	-0.5393928655131848
-0.49600958828444935	-0.5415787702671535
-0.5059840546372498	-0.5413943905926614
-0.5156312196514996	-0.5388532433896309
-0.5244037874346459	-0.5341026095565679
-0.5318061203278852	-0.5274143228669179
-0.5374219058295294	-0.519168602373322
-0.5409370996280509	-0.5098319216813005
-0.5421569091582993	-0.499930230038125
-0.5410159344559992	-0.4900190824411176
-0.5375809790249176	-0.480652386823389
-0.5320464599291704	-0.47235152915633943
-0.5247227597216501	-0.46557659097987947
-0.5160182501523447	-0.4607012329468331
-0.5064160578597182	-0.45799259212361876
-0.4964469175022484	-0.4575972441992335
-0.4866596540978693	-0.45953393219406435
-0.47759094443499595	-0.4636933810334451
-0.46973602308984086	-0.46984512411101464
-0.4635219227891152	-0.47765088548903656
-0.4592846775399815	-0.4866837103692665
-0.45725168059357263	-0.49645173544024174
-0.45753009225147706	-0.506425255052001
-0.46010185207947446	-0.5160655803775892
-0.464825485537973	-0.5248541138626325
-0.4714445265209249	-0.5323200727145462
-0.4796020247260715	-0.5380653906137258
-0.4888602887629131	-0.5417854994486468
-0.498724748777326	-0.543284931910004
-0.5086706193780489	-0.5424869771425078
-0.5181709143192518	-0.5394369487893478
-0.5267243141198894	-0.5342989695897443
-0.5338814176654503	-0.5273465205898769
-0.5392680156584563	-0.5189473278581599
-0.5426042003903668	-0.5095434486312271
-0.5437183620212521	-0.49962765759318634
-0.5425554028372171	-0.48971741101058697
-0.5391788121960412	-0.48032777370407337
-0.5337665692478817	-0.4719447271539064
-0.5266011609097797	-0.4650002361719172
-0.5180543024575456	-0.4598503401459232
-0.5085672123940158	-0.45675736006028056
-0.49862750905859704	-0.45587708461371695
-0.48874395365163487	-0.45725153058287477
-0.4794203560929358	-0.46080757868242816
-0.47112998305785236	-0.4663614820982332
-0.46429176187362275	-0.4736289463265921
-0.45924946343303485	-0.48224020100547804
-0.4562548788226161	-0.4917592407430308
-0.4554557876719138	-0.5017062141532647
-0.45688926322309803	-0.5115817974314213
-0.46048058326392494	-0.5208923068978317
-0.46604773166342456	-0.529174286863367
-0.47331119669657407	-0.5360173545107666
-0.4819085134108258	-0.5410841886766165
-0.4914127704452346	-0.5441267079911157
-0.5013541175476456	-0.544997686820925
-0.5112431767705016	-0.5436572939054047
-0.5205951834786157	-0.5401742961258502
-0.5289536654798543	-0.5347219353961375
-0.5359125094397527	-0.5275687470233988
-0.5411353600438458	-0.5190648304342775
-0.5443714432750658	-0.509624296439201
-0.5454670925469695	-0.4997047894534665
-0.5443724753232287	-0.48978511067607217
-0.5411432570157595	-0.48034204395211233
-0.5359371864295636	-0.4718275073487399
-0.5290058307380592	-0.46464712047508805
-0.5206819163207498	-0.4591411929982317
-0.511362934181267	-0.4555690087796399
-0.5014918359854619	-0.4540971098063991
-0.49153577180183344	-0.4547920835411123
-0.48196389835572007	-0.45761813661287554
-0.4732253143515326	-0.4624395077785835
-0.4657281569261461	-0.4690275448389067
-0.45982082269494196	-0.47707205438728456
-0.4557761624725293	-0.48619633975506354
-0.4537793468706609	-0.49597517986032325
-0.45391991847447755	-0.5059548767951758
-0.4561883442420021	-0.5156744178918438
-0.4604771689631288	-0.5246867615814561
-0.4665866571164046	-0.532579266305497
-0.4742346061255959	-0.5389923366062749
-0.4830698280336434	-0.5436354568234947
-0.4926886371038047	-0.5462999152570235
-0.5026535545415386	-0.5468676833941477
-0.5125133534429817	-0.5453160978445667
