d30amp 	 d30phase 	 d50amp 	 d50phase 	 d100amp 	 d100phase 
0.018267561999902045	1.06639987353	0.0007005603808366063	1.52901938066	0.016643224857057333	-0.815240689203
0.018136946766331492	0.920167285834	0.0007172437612042277	1.52828296555	0.016788820287387943	-0.9690798648
0.017951167071752653	0.774434409988	0.0007675216026987872	1.52148589902	0.016919354693355718	-1.12260565063
0.017711288328566298	0.629239010673	0.000851639338966891	1.50318770173	0.017034520082835493	-1.27581492668
0.01741874224247953	0.484621365025	0.0009697127075860635	1.47042549831	0.017134036414769276	-1.42870458695
0.017075320599150658	0.340624833144	0.0011217262331088774	1.42252169519	0.017217652371559273	1.56032112601
0.01668316665102246	0.197296507045	0.0013075322082313472	1.36032844414	0.017285146082615995	1.40808001857
0.016244764140155975	0.0546879578908	0.0015268501810898243	1.28545656804	0.01733632579730667	1.25616787942
0.015762924008449645	-0.08714389444	0.0017792669548069425	1.19973673343	0.017371030505629256	1.10458787714
0.015240768862094039	-0.228135759962	0.0020642371034784164	1.10492357917	0.017389130505016788	0.953343225905
0.014681715272198949	-0.368216768918	0.0023810840068394707	1.00256819633	0.01739052791177424	0.802437198005
0.01408945400823318	-0.507307028514	0.0027290014038641067	0.893984994338	0.017375157115738647	0.651873136637
0.013467928315150954	-0.645315889352	0.003107055463559832	0.780263391799	0.017342985176843337	0.501654469297
0.0128213103586628	-0.782139850374	0.0035141873692038543	0.662296671739	0.017294012162387913	0.35178472176
0.012153975976030015	-0.917660012703	0.003949216410268916	0.540814394401	0.01722827142388017	0.202267532809
0.011470477881915695	-1.05173896944	0.004410843574275504	0.416412497286	0.017145829812464073	0.0531066698453
0.010775517490083982	-1.18421698921	0.004897655628824463	0.289579070405	0.017046787832023683	-0.0956939544865
0.010073915522070542	-1.31490731535	0.005408129682090648	0.160715551681	0.016931279729175384	-0.244130264498
0.009370581583274886	-1.443590359	0.005940638208126564	0.030153791647	0.0167994735194776	-0.392198002303
0.008670482895131669	-1.57000651553	0.0064934545214192126	-0.101830352504	0.016651570949289124	-0.539892707119
0.007978612379104603	1.44774537176	0.007064758683282812	-0.235006235654	0.016487807392837773	-0.687209692812
0.007299956294127374	1.32684834245	0.007652643820873587	-0.369179880003	0.016308451684166492	-0.834144023429
0.006639461633719182	1.20933661839	0.008255122837854602	-0.504187191411	0.016113805883758107	-0.980690486457
0.006002003492353602	1.09574108701	0.008870135494067635	-0.639888556648	0.015904204979742667	-1.12684356349
0.005392352612651465	0.986700782115	0.009495555829955244	-0.776164522657	0.01568001652373199	-1.27259739793
0.004815143325630673	0.882983773579	0.01012919990994976	-0.912912324796	0.015441640201435168	-1.41794575937
0.004274842095542691	0.785508007974	0.010768833857607085	-1.05004308312	0.0151895073383435	-1.56288200415
0.0037757168787512065	0.695357145881	0.011412182153909316	-1.18747952627	0.01492408034088667	1.43419362205
0.0033218075026524327	0.613781251734	0.012056936168913094	-1.32515413379	0.014645852073591857	1.29010341863
0.002916897265848157	0.542163570056	0.012700762895770636	-1.46300761196	0.0143553451729073	1.14644820598
0.0025644859546346487	0.481922373692	0.01334131385511535	1.54060501718	0.014053111298461731	1.00323677213
0.002267764463411451	0.434304748867	0.013976234136877224	1.40254484402	0.013739730322668727	0.860478594633
0.0020295911979000053	0.400031012033	0.014603171545787802	1.26444586202	0.01341580945969818	0.718183917584
0.0018524704300982775	0.378793613521	0.015219785816154269	1.12634508157	0.013081982334966673	0.576363838378
0.00173853276276669	0.368734120453	0.015823757860919267	0.9882757969	0.012738907996409709	0.435030405933
0.0016895178490035525	0.366187073068	0.016412799019600462	0.850268105337	0.012387269868929055	0.294196732081
0.001706759499169886	0.366024621582	0.01698466026940208	0.712349349237	0.012027774653516003	0.15387711828
0.0017911732931734077	0.36265974297	0.017537141363636044	0.574544494096	0.011661151172673318	0.0140872001346
0.001943246800973877	0.351283441453	0.018068099861551563	0.436876453878	0.011288149163872512	-0.125155887271
0.002163032498239759	0.328712843823	0.018575460013794003	0.299366372525	0.010909538022886649	-0.263833319697
0.0024501434474397494	0.293550271181	0.01905722146795792	0.162033869051	0.010526105498960762	-0.401924365485
0.0028037517974271644	0.245819632394	0.01951146775907766	0.0248972523267	0.010138656343873096	-0.539406133618
0.0032225901368329833	0.186427528414	0.0199363745504364	-0.112026289376	0.009748010917056925	-0.676253281999
0.0037049557184754027	0.116695646715	0.02033021759071943	-0.248720519802	0.00935500374904186	-0.812437678542
0.0042487175536063595	0.0380480667211	0.020691380354343876	-0.385170003527	0.008960482065577757	-0.947928006164
0.004851326356272056	-0.0481612263195	0.021018361332720722	-0.521359969079	0.008565304274890958	-1.08268930078
0.0055098272994828085	-0.140725178519	0.02130978094525986	-0.657276183763	0.008170338420617741	-1.21668240902
0.006220875526394558	-0.238605265843	0.02156438804013025	-0.792904837875	0.007776460603037996	-1.34986334953
0.006980754341399867	-0.340925305675	0.02178106595608312	-0.9282324363	0.007384553371319425	-1.4821825578
0.0077853959880434965	-0.446953541037	0.02195883811808872	-1.06324569567	0.00699550408955491	1.52800866355
0.008630404903148405	-0.556081448488	0.022096873141084397	-1.19793144542	0.0066102032794491	1.39758859775
0.00951108331953279	-0.667803272451	0.022194489417789284	-1.33227653121	0.006229542942577636	1.26822231158
0.010422459073387496	-0.781697902736	0.02225115916831066	-1.46626771926	0.00585441486520246	1.13999257251
0.011359315456843778	-0.897413523577	0.022266511931129242	1.54170105354	0.005485708908690535	1.01299434695
0.012316222941588309	-1.01465492139	0.02224033747701551	1.40845816349	0.005124311288624979	0.887337029668
