Inital Angle 	 Period 
0.0314159265359	6.269592476489028
0.0469652235082	6.269592476489028
0.0625145204805	6.269592476489028
0.0780638174528	6.269592476489028
0.0936131144252	6.269592476489028
0.109162411397	6.269592476489028
0.12471170837	6.269592476489028
0.140261005342	6.269592476489028
0.155810302314	6.269592476489028
0.171359599287	6.269592476489028
0.186908896259	6.269592476489028
0.202458193231	6.289308176100629
0.218007490204	6.289308176100629
0.233556787176	6.289308176100629
0.249106084148	6.289308176100629
0.264655381121	6.289308176100629
0.280204678093	6.289308176100629
0.295753975065	6.289308176100629
0.311303272038	6.309148264984227
0.32685256901	6.309148264984227
0.342401865982	6.309148264984227
0.357951162954	6.309148264984227
0.373500459927	6.309148264984227
0.389049756899	6.329113924050633
0.404599053871	6.329113924050633
0.420148350844	6.329113924050633
0.435697647816	6.329113924050633
0.451246944788	6.349206349206349
0.466796241761	6.349206349206349
0.482345538733	6.349206349206349
0.497894835705	6.369426751592357
0.513444132678	6.369426751592357
0.52899342965	6.369426751592357
0.544542726622	6.389776357827476
0.560092023595	6.389776357827476
0.575641320567	6.389776357827476
0.591190617539	6.410256410256411
0.606739914511	6.410256410256411
0.622289211484	6.410256410256411
0.637838508456	6.430868167202572
0.653387805428	6.430868167202572
0.668937102401	6.451612903225806
0.684486399373	6.451612903225806
0.700035696345	6.451612903225806
0.715584993318	6.472491909385114
0.73113429029	6.472491909385114
0.746683587262	6.4935064935064934
0.762232884235	6.4935064935064934
0.777782181207	6.514657980456026
0.793331478179	6.514657980456026
0.808880775152	6.5359477124183005
0.824430072124	6.5359477124183005
0.839979369096	6.557377049180328
0.855528666068	6.557377049180328
0.871077963041	6.578947368421052
0.886627260013	6.578947368421052
0.902176556985	6.600660066006601
0.917725853958	6.600660066006601
0.93327515093	6.622516556291391
0.948824447902	6.644518272425249
0.964373744875	6.644518272425249
0.979923041847	6.666666666666667
0.995472338819	6.666666666666667
1.01102163579	6.688963210702341
1.02657093276	6.7114093959731544
1.04212022974	6.7114093959731544
1.05766952671	6.734006734006734
1.07321882368	6.734006734006734
1.08876812065	6.756756756756757
1.10431741763	6.779661016949152
1.1198667146	6.779661016949152
1.13541601157	6.802721088435374
1.15096530854	6.825938566552901
1.16651460551	6.8493150684931505
1.18206390249	6.8493150684931505
1.19761319946	6.8728522336769755
1.21316249643	6.896551724137931
1.2287117934	6.920415224913495
1.24426109038	6.920415224913495
1.25981038735	6.944444444444445
1.27535968432	6.968641114982578
1.29090898129	6.993006993006993
1.30645827827	6.993006993006993
1.32200757524	7.017543859649122
1.33755687221	7.042253521126761
1.35310616918	7.067137809187279
1.36865546615	7.092198581560283
1.38420476313	7.117437722419929
1.3997540601	7.117437722419929
1.41530335707	7.142857142857143
1.43085265404	7.168458781362007
1.44640195102	7.194244604316546
1.46195124799	7.2202166064981945
1.47750054496	7.246376811594203
1.49304984193	7.2727272727272725
1.50859913891	7.299270072992701
1.52414843588	7.299270072992701
1.53969773285	7.326007326007326
1.55524702982	7.352941176470588
1.57079632679	7.380073800738008
1.58634562377	7.407407407407407
1.60189492074	7.434944237918216
1.61744421771	7.462686567164179
1.63299351468	7.49063670411985
1.64854281166	7.518796992481203
1.66409210863	7.547169811320755
1.6796414056	7.575757575757576
1.69519070257	7.604562737642586
1.71073999955	7.633587786259542
1.72628929652	7.662835249042145
1.74183859349	7.6923076923076925
1.75738789046	7.751937984496124
1.77293718743	7.782101167315175
1.78848648441	7.8125
1.80403578138	7.8431372549019605
1.81958507835	7.874015748031496
1.83513437532	7.905138339920948
1.8506836723	7.936507936507937
1.86623296927	7.968127490039841
1.88178226624	8.0
1.89733156321	8.064516129032258
1.91288086019	8.097165991902834
1.92843015716	8.130081300813009
1.94397945413	8.16326530612245
1.9595287511	8.19672131147541
1.97507804808	8.264462809917354
1.99062734505	8.298755186721992
2.00617664202	8.333333333333334
2.02172593899	8.368200836820083
2.03727523596	8.403361344537815
2.05282453294	8.474576271186441
2.06837382991	8.51063829787234
2.08392312688	8.547008547008547
2.09947242385	8.620689655172415
2.11502172083	8.658008658008658
2.1305710178	8.695652173913043
2.14612031477	8.771929824561404
2.16166961174	8.810572687224669
2.17721890872	8.849557522123893
2.19276820569	8.928571428571429
2.20831750266	8.968609865470851
2.22386679963	9.00900900900901
2.2394160966	9.090909090909092
2.25496539358	9.132420091324201
2.27051469055	9.216589861751151
2.28606398752	9.25925925925926
2.30161328449	9.30232558139535
2.31716258147	9.389671361502348
2.33271187844	9.433962264150944
2.34826117541	9.523809523809524
2.36381047238	9.569377990430622
2.37935976936	9.66183574879227
2.39490906633	9.70873786407767
2.4104583633	9.803921568627452
2.42600766027	9.900990099009901
2.44155695724	9.950248756218905
2.45710625422	10.050251256281408
2.47265555119	10.1010101010101
2.48820484816	10.204081632653061
2.50375414513	10.309278350515465
2.51930344211	10.362694300518134
2.53485273908	10.471204188481675
2.55040203605	10.582010582010582
2.56595133302	10.638297872340425
2.58150063	10.75268817204301
2.59704992697	10.869565217391305
2.61259922394	10.989010989010989
2.62814852091	11.11111111111111
2.64369781788	11.1731843575419
2.65924711486	11.299435028248588
2.67479641183	11.428571428571429
2.6903457088	11.560693641618498
2.70589500577	11.695906432748538
2.72144430275	11.834319526627219
2.73699359972	11.976047904191617
2.75254289669	12.121212121212121
2.76809219366	12.269938650306749
2.78364149064	12.422360248447205
2.79919078761	12.578616352201259
2.81474008458	12.820512820512821
2.83028938155	12.987012987012987
2.84583867852	13.157894736842104
2.8613879755	13.333333333333334
2.87693727247	13.605442176870747
2.89248656944	13.793103448275861
