Time 	 Energy 
0.0	0.0
1.00010001	6.82276668837e-11
2.00020002	-2.24739951245e-10
3.00030003	-2.18360189075e-10
4.00040004	-3.29234996416e-10
5.00050005	-4.54663193664e-10
6.00060006001	-5.83381515194e-10
7.00070007001	-7.11986455815e-10
8.00080008001	-8.36988193489e-10
9.00090009001	-9.68562190988e-10
10.0010001	-1.09263197772e-09
11.00110011	-1.22114101501e-09
12.00120012	-1.35113378388e-09
13.00130013	-1.47479894195e-09
14.00140014	-1.6062191894e-09
15.00150015	-1.73157523183e-09
16.00160016	-1.85876852958e-09
17.00170017	-1.98949174112e-09
18.00180018	-2.11339482744e-09
19.00190019	-2.24393425429e-09
20.0020002	-2.36965106469e-09
21.00210021	-2.49698892407e-09
22.00220022	-2.62802153088e-09
23.00230023	-2.75106337553e-09
24.00240024	-2.88198389289e-09
25.00250025	-3.00849781017e-09
26.00260026	-3.13428819892e-09
27.00270027	-3.26649301444e-09
28.00280028	-3.38969268314e-09
29.00290029	-3.51912297124e-09
30.0030003	-3.64727845584e-09
31.00310031	-3.77260123682e-09
32.00320032	-3.90403265065e-09
33.00330033	-4.02802586401e-09
34.00340034	-4.15721505913e-09
35.00350035	-4.28560649701e-09
36.00360036	-4.4104112384e-09
37.00370037	-4.54233416925e-09
38.00380038	-4.66627446311e-09
39.00390039	-4.7945996397e-09
40.0040004	-4.92472016982e-09
41.00410041	-5.04846265354e-09
42.00420042	-5.17967400744e-09
43.00430043	-5.30513361479e-09
44.00440044	-5.43245088837e-09
45.00450045	-5.56283336879e-09
46.00460046	-5.68692212889e-09
47.00470047	-5.81759659395e-09
48.00480048	-5.94304340843e-09
49.00490049	-6.07048514788e-09
50.0050005001	-6.20155569959e-09
51.0051005101	-6.3245497559e-09
52.0052005201	-6.45542119057e-09
53.0053005301	-6.58196838778e-09
54.0054005401	-6.70784995218e-09
55.0055005501	-6.8397731613e-09
56.0056005601	-6.96320267415e-09
57.0057005701	-7.09271489851e-09
58.0058005801	-7.22039539746e-09
59.0059005901	-7.34615073338e-09
60.0060006001	-7.47755818022e-09
61.0061006101	-7.60116540303e-09
62.0062006201	-7.73077288256e-09
63.0063006301	-7.85897401755e-09
64.0064006401	-7.98362413973e-09
65.0065006501	-8.11581638505e-09
66.0066006601	-8.23964282916e-09
67.0067006701	-8.36788899529e-09
68.0068006801	-8.49797330414e-09
69.0069006901	-8.62185680924e-09
70.0070007001	-8.75298558348e-09
71.0071007101	-8.87831740563e-09
72.0072007201	-9.00587741759e-09
73.0073007301	-9.13603941345e-09
74.0074007401	-9.26006319116e-09
75.0075007501	-9.39101580877e-09
76.0076007601	-9.51629015384e-09
77.0077007701	-9.64360965579e-09
78.0078007801	-9.77485480226e-09
79.0079007901	-9.89785034955e-09
80.0080008001	-1.00285148392e-08
81.0081008101	-1.01552097244e-08
82.0082008201	-1.02811875417e-08
83.0083008301	-1.04127513589e-08
84.0084008401	-1.05364576407e-08
85.0085008501	-1.06660534106e-08
86.0086008601	-1.07932887193e-08
87.0087008701	-1.09194075867e-08
88.0088008801	-1.10508080038e-08
89.0089008901	-1.11741421875e-08
90.0090009001	-1.13040009666e-08
91.0091009101	-1.14320680492e-08
92.0092009201	-1.15567035195e-08
93.0093009301	-1.16889325924e-08
94.0094009401	-1.18127550837e-08
95.0095009501	-1.19410470453e-08
96.0096009601	-1.20708382248e-08
97.0097009701	-1.21950141445e-08
98.0098009801	-1.23261510987e-08
99.0099009901	-1.24511226192e-08
100.010001	-1.25790758818e-08
101.01010101	-1.27090628049e-08
102.01020102	-1.28328672152e-08
103.01030103	-1.29642032626e-08
104.01040104	-1.30893162557e-08
105.01050105	-1.32164487164e-08
106.01060106	-1.33479004727e-08
107.01070107	-1.34708949752e-08
108.01080108	-1.36013718484e-08
109.01090109	-1.3728163534e-08
110.0110011	-1.38542539352e-08
111.01110111	-1.39855407458e-08
112.01120112	-1.4109378507e-08
113.01130113	-1.42391188545e-08
114.01140114	-1.43660469758e-08
115.01150115	-1.44922976657e-08
116.01160116	-1.46237901333e-08
117.01170117	-1.47469940542e-08
118.01180118	-1.4876846936e-08
119.01190119	-1.50049207337e-08
120.0120012	-1.51296375511e-08
121.01210121	-1.52616638168e-08
122.01220122	-1.53856418572e-08
123.01230123	-1.55140277481e-08
124.01240124	-1.56433503867e-08
125.01250125	-1.57679424402e-08
126.01260126	-1.58991028198e-08
127.01270127	-1.60236380923e-08
128.01280128	-1.61520249052e-08
129.01290129	-1.62818288174e-08
130.0130013	-1.64054468934e-08
131.01310131	-1.65371102133e-08
132.01320132	-1.66620698645e-08
133.01330133	-1.67891113726e-08
134.01340134	-1.69206180354e-08
135.01350135	-1.70436677107e-08
136.01360136	-1.71740812925e-08
137.01370137	-1.73007505949e-08
138.01380138	-1.74270614883e-08
139.01390139	-1.75581957133e-08
140.0140014	-1.76819127426e-08
141.01410141	-1.78119389507e-08
142.01420142	-1.79386671074e-08
143.01430143	-1.80648110356e-08
144.01440144	-1.81965366323e-08
145.01450145	-1.83196700403e-08
146.01460146	-1.84493429955e-08
147.01470147	-1.85775469402e-08
148.01480148	-1.87023550491e-08
149.01490149	-1.88340824557e-08
150.0150015	-1.8958281443e-08
151.01510151	-1.90867608185e-08
152.01520152	-1.92156203563e-08
153.01530153	-1.93405866956e-08
154.01540154	-1.94717840375e-08
155.01550155	-1.95959789517e-08
156.01560156	-1.97246521273e-08
157.01570157	-1.98543138988e-08
158.01580158	-1.99778895071e-08
159.01590159	-2.01096598059e-08
160.0160016	-2.02345622009e-08
161.01610161	-2.03616442943e-08
162.01620162	-2.04929438057e-08
163.01630163	-2.0616199789e-08
164.01640164	-2.07466494551e-08
165.01650165	-2.08729530154e-08
166.01660166	-2.09996404591e-08
167.01670167	-2.11306796428e-08
168.01680168	-2.12540985156e-08
169.01690169	-2.13845294887e-08
170.0170017	-2.15110775216e-08
171.01710171	-2.16370277508e-08
172.01720172	-2.17690376788e-08
173.01730173	-2.18920965735e-08
174.01740174	-2.20215924002e-08
175.01750175	-2.21498971942e-08
176.01760176	-2.22748034257e-08
177.01770177	-2.24063016094e-08
178.01780178	-2.25305970327e-08
179.01790179	-2.26592208002e-08
180.0180018	-2.27877464506e-08
181.01810181	-2.29128696598e-08
182.01820182	-2.30441961415e-08
183.01830183	-2.31681959355e-08
184.01840184	-2.32968996969e-08
185.01850185	-2.3426551557e-08
186.01860186	-2.35501932887e-08
187.01870187	-2.36818247447e-08
188.01880188	-2.38068269776e-08
189.01890189	-2.3934007238e-08
190.0190019	-2.4064897454e-08
191.01910191	-2.41885056071e-08
192.01920192	-2.4319012696e-08
193.01930193	-2.44448491272e-08
194.01940194	-2.4571975665e-08
195.01950195	-2.47029179078e-08
196.01960196	-2.48260459189e-08
197.01970197	-2.4956847603e-08
198.01980198	-2.50832191437e-08
199.01990199	-2.5209059619e-08
200.020002	-2.53412244614e-08
201.02010201	-2.54642492603e-08
202.02020202	-2.55936896124e-08
203.02030203	-2.57218902011e-08
204.02040204	-2.58469896775e-08
205.02050205	-2.59783852907e-08
206.02060206	-2.61025275717e-08
207.02070207	-2.62314331475e-08
208.02080208	-2.63597401533e-08
209.02090209	-2.64847716463e-08
210.0210021	-2.66163715129e-08
211.02110211	-2.67402472063e-08
212.02120212	-2.68687907967e-08
213.02130213	-2.69985637708e-08
214.02140214	-2.71222892329e-08
215.02150215	-2.72536682324e-08
216.02160216	-2.73788514714e-08
217.02170217	-2.75061286861e-08
218.02180218	-2.76365813207e-08
219.02190219	-2.77605364646e-08
220.0220022	-2.78911104173e-08
221.02210221	-2.80165566778e-08
222.02220222	-2.81439970495e-08
223.02230223	-2.82748741e-08
224.02240224	-2.8397850889e-08
225.02250225	-2.8528816526e-08
226.02260226	-2.86550946086e-08
227.02270227	-2.87809625607e-08
228.02280228	-2.89130280265e-08
229.02290229	-2.90361568695e-08
230.0230023	-2.91656495435e-08
231.02310231	-2.92934949941e-08
232.02320232	-2.94189459108e-08
233.02330233	-2.95503074013e-08
234.02340234	-2.96740987455e-08
235.02350235	-2.98034174072e-08
236.02360236	-2.99315359047e-08
237.02370237	-3.00563650057e-08
238.02380238	-3.01883072044e-08
239.02390239	-3.03120568567e-08
240.0240024	-3.04404252863e-08
241.02410241	-3.05703111443e-08
242.02420242	-3.06941187154e-08
243.02430243	-3.08253021598e-08
244.02440244	-3.09505631688e-08
245.02450245	-3.10779772497e-08
246.02460246	-3.12081007663e-08
247.02470247	-3.13322128481e-08
248.02480248	-3.14629380447e-08
249.02490249	-3.15881391493e-08
250.0250025	-3.17156413067e-08
251.02510251	-3.18465701663e-08
252.02520252	-3.19695228058e-08
253.02530253	-3.2100401525e-08
254.02540254	-3.22267390338e-08
255.02550255	-3.23527031574e-08
256.02560256	-3.24844547182e-08
257.02570257	-3.26078398642e-08
258.02580258	-3.27374127392e-08
259.02590259	-3.28647772514e-08
260.0260026	-3.29906636904e-08
261.02610261	-3.31219944094e-08
262.02620262	-3.32454162138e-08
263.02630263	-3.33751365064e-08
264.02640264	-3.35030679474e-08
265.02650265	-3.3627763793e-08
266.02660266	-3.37599402988e-08
267.02670267	-3.38835915757e-08
268.02680268	-3.40119023463e-08
269.02690269	-3.41417124432e-08
270.0270027	-3.42656825951e-08
271.02710271	-3.43967986259e-08
272.02720272	-3.45218934765e-08
273.02730273	-3.46495752454e-08
274.02740274	-3.47794820609e-08
275.02750275	-3.49035046005e-08
276.02760276	-3.50345273847e-08
277.02770277	-3.51595657276e-08
278.02780278	-3.52869228112e-08
279.02790279	-3.54180325628e-08
280.0280028	-3.55409963105e-08
281.02810281	-3.56716570887e-08
282.02820282	-3.57981490853e-08
283.02830283	-3.59242086485e-08
284.02840284	-3.60555979951e-08
285.02850285	-3.61792570156e-08
286.02860286	-3.63089152426e-08
287.02870287	-3.64358548963e-08
288.02880288	-3.6562076087e-08
289.02890289	-3.66934030123e-08
290.0290029	-3.68165835608e-08
291.02910291	-3.69465141384e-08
292.02920292	-3.70743299566e-08
293.02930293	-3.71990331223e-08
294.02940294	-3.73311987061e-08
295.02950295	-3.74548763574e-08
296.02960296	-3.75832455961e-08
297.02970297	-3.77127245962e-08
298.02980298	-3.78370145506e-08
299.02990299	-3.79681407192e-08
300.030003	-3.80928545916e-08
301.03010301	-3.82209463673e-08
302.03020302	-3.83506677475e-08
303.03030303	-3.84744752419e-08
304.03040304	-3.86058813435e-08
305.03050305	-3.87307597761e-08
306.03060306	-3.88579371486e-08
307.03070307	-3.89892320699e-08
308.03080308	-3.91122069882e-08
309.03090309	-3.92426935344e-08
310.0310031	-3.93692582598e-08
311.03110311	-3.94954415117e-08
312.03120312	-3.96265669981e-08
313.03130313	-3.97503277777e-08
314.03140314	-3.98801470659e-08
315.03150315	-4.0006803727e-08
316.03160316	-4.01331146201e-08
317.03170317	-4.02645491513e-08
318.03180318	-4.03876225357e-08
319.03190319	-4.05175086298e-08
320.0320032	-4.06453563116e-08
321.03210321	-4.07701478946e-08
322.03220322	-4.09020776931e-08
323.03230323	-4.10259369005e-08
324.03240324	-4.11543997562e-08
325.03250325	-4.12833989012e-08
326.03260326	-4.14081126279e-08
327.03270327	-4.15392574558e-08
328.03280328	-4.16635455028e-08
329.03290329	-4.17920589303e-08
330.0330033	-4.19215927946e-08
331.03310331	-4.2045239917e-08
332.03320332	-4.21769426644e-08
333.03330333	-4.23016792097e-08
334.03340334	-4.24287880863e-08
335.03350335	-4.25600898344e-08
336.03360336	-4.26831490001e-08
337.03370337	-4.28135895924e-08
338.03380338	-4.29399917096e-08
339.03390339	-4.30664210177e-08
340.0340034	-4.31974010729e-08
341.03410341	-4.3321011682e-08
342.03420342	-4.34511386203e-08
343.03430343	-4.35776056901e-08
344.03440344	-4.37037840286e-08
345.03450345	-4.38354620945e-08
346.03460346	-4.39584732292e-08
347.03470347	-4.40881663726e-08
348.03480348	-4.42161527447e-08
349.03490349	-4.43410347883e-08
350.0350035	-4.44726616859e-08
351.03510351	-4.45967405696e-08
352.03520352	-4.47252983587e-08
353.03530353	-4.48538506728e-08
354.03540354	-4.49789142007e-08
355.03550355	-4.51100996464e-08
