n 	 mean 	 std 
0	537.184481458	0.0419555060603
10000000	537.186337399	0.0245205308097
20000000	537.186569389	0.0209765769213
30000000	537.186615361	0.0160984271926
40000000	537.185493648	0.0191981602087
50000000	537.188370352	0.0160613183575
60000000	537.18980961	0.0136804571433
70000000	537.188676892	0.0164961645765
80000000	537.188544218	0.0120081371627
